name, locLongitude, locLatitude, lines, notes
"Astor Pl",-73.99106999861966,40.73005400028978,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",
"Canal St",-74.00019299927328,40.71880300107709,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",
"50th St",-73.98384899986625,40.76172799961419,"1,2","1-all times, 2-nights",
"Bergen St",-73.97499915116808,40.68086213682956,"2,3,4","4-nights, 3-all other times, 2-all times",
"Pennsylvania Ave",-73.89488591154061,40.66471445143568,"3,4","4-nights, 3-all other times",
"238th St",-73.90087000018522,40.88466700064975,"1","1-all times, exit only northbound",
"Cathedral Pkwy (110th St)",-73.95806670661364,40.800581558114956,"A,B,C","A-nights, B-weekdays and evenings, C-all times exc nights",
"Kingston - Throop Aves",-73.94085899871263,40.67991899941601,"A,C","A-nights, C-all other times",
"65th St",-73.8987883783301,40.74971952935675,"E,M,R","E-nights, R-all other times, M-weekdays and evenings",
"36th St",-73.92901818461539,40.75196004401078,"E,M,R","E-nights, R-all other times, M-weekdays and evenings",
"Delancey St - Essex St",-73.98740940202974,40.71830605618619,"J,M,Z","J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",
"Van Siclen Ave",-73.89165772702445,40.67802821447783,"J,Z","Z-rush hours AM westbound, PM eastbound, J-all other times",
"Norwood Ave",-73.87962599910783,40.68152000045683,"J,Z","Z-rush hours AM westbound, PM eastbound, J-all other times",
"104th-102nd Sts",-73.84443500029684,40.69516599823373,"J,Z","Z-rush hours AM westbound, PM eastbound, J-all other times",
"DeKalb Ave",-73.98177094440949,40.690648119969794,"B,D,N,Q,R","B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times",
"Beach 105th St",-73.82758075034528,40.58326843810286,"A,S","A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",
"Beach 90th St",-73.81365140419632,40.58809156457325,"A,S","A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",
"Freeman St",-73.89175225349464,40.829987446384116,"2,5","2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",
"Intervale Ave",-73.89661738461646,40.822142131170786,"2,5","2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",
"182nd-183rd Sts",-73.90074099998965,40.85609299881864,"B,D","B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",
"174th-175th Sts",-73.91013600050078,40.84589999983414,"B,D","B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",
"167th St",-73.91843200082253,40.83376899862797,"B,D","B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",
"Mets - Willets Point",-73.8456249984179,40.75462199881262,"7","7-all times, 7 Express-rush hours AM westbound, PM eastbound",
"Junction Blvd",-73.86952700103515,40.74914499948836,"7","7-all times, 7 Express-rush hours AM westbound, PM eastbound",
"Flushing - Main St",-73.83003000262508,40.75959999915012,"7","7-all times, 7 Express-rush hours AM westbound, PM eastbound",
"Buhre Ave",-73.83256900003744,40.846809998885504,"6","6 Express-weekdays AM southbound, PM northbound, 6-all other times",
"3rd Ave - 138th St",-73.92613800014134,40.81047600117261,"6","6-all times, 6 Express-weekdays AM southbound, PM northbound",
"Castle Hill Ave",-73.85122199961472,40.83425499825462,"6","6 Express-weekdays AM southbound, PM northbound, 6-all other times",
"Brooklyn Bridge - City Hall",-74.0041310005885,40.713064999433136,"4,5,6","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",
"Zerega Ave",-73.8470359987544,40.836488000608156,"6","6 Express-weekdays AM southbound, PM northbound, 6-all other times",
"Grand Central - 42nd St",-73.9767132992584,40.75180742981634,"4,5,6","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",
"33rd St",-73.98207600148947,40.74608099909145,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",
"96th St",-73.9510700015425,40.78567199998607,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",
"77th St",-73.95987399886047,40.77362000074615,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",
"Chauncey St",-73.91038357033376,40.68285130087804,"J,Z","Z-rush hours AM westbound, PM eastbound, J-all other times",
"Union St",-73.98310999909673,40.67731566735096,"D,N,R","D,N-nights, R-all other times",
"Elmhurst Ave",-73.8820347465864,40.74237007972169,"E,M,R","E-nights, R-all other times, M-weekdays and evenings",
"Ralph Ave",-73.92078599933306,40.678822000873375,"A,C","A-nights, C-all other times",
"Pelham Pkwy",-73.86748067850041,40.8571924091606,"2,5","2-all times, 5-rush hours AM southbound, PM northbound",
"Gun Hill Rd",-73.86613410538703,40.877839385172024,"2,5","2-all times, 5-rush hours AM southbound, PM northbound",
"Nereid Ave (238 St)",-73.8543153107622,40.898286515575286,"2,5","2-all times, 5-rush hours AM southbound, PM northbound",
"Franklin Ave",-73.9580997367769,40.67076515344894,"2,3,4,5","2,4-all times, 3-all times exc nights, 5-weekdays",
"Simpson St",-73.89306639507903,40.823976841237396,"2,5","2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",
"Bronx Park East",-73.86835609178098,40.848768666338934,"2,5","2-all times, 5-rush hours AM southbound, PM northbound",
"Winthrop St",-73.95007934590994,40.65665931376077,"2,5","2-all times, 5-weekdays",
"Van Siclen Ave",-73.88940491730106,40.665517963059635,"3,4","4-nights, 3-all other times",
"149th St - Grand Concourse",-73.9273847542618,40.81830344372315,"4","4-all times",
"161st St - Yankee Stadium",-73.92569199505733,40.82823032742169,"4","4-all times",
"Lexington Ave - 59th St",-73.9679670004732,40.762526000304575,"4,5,6","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",
"E 149th St",-73.90409799875945,40.81211799827203,"6","6-all times",
"Morrison Av - Soundview",-73.87451599929486,40.82952100156747,"6","6-all times",
"Whitlock Ave",-73.8862829985325,40.82652500055904,"6","6-all times",
"St Lawrence Ave",-73.86761799923673,40.8315090005233,"6","6-all times",
"Woodside - 61st St",-73.90298400173006,40.745630001138395,"7","7-all times, 7 Express-rush hours AM westbound, PM eastbound",
"Far Rockaway - Mott Ave",-73.75540499924732,40.603995001687544,"A","A-all times",
"72nd St",-73.976336575218,40.77551939729258,"A,B,C","A-nights, B-weekdays and evenings, C-all times exc nights",
"96th St",-73.96460245687166,40.79161879767014,"A,B,C","A-nights, B-weekdays and evenings, C-all times exc nights",
"168th St",-73.93956099985425,40.84071899990795,"A,C","A-all times, C-all times exc nights",
"Kingsbridge Rd",-73.8935090000331,40.86697799999945,"B,D","B-rush hours, D-all times",
"42nd St - Bryant Pk",-73.98459099904711,40.754184001312545,"B,D,F,M","B,M-weekdays and evenings, D,F-all times",
